职位,公司名称,薪资,城市,区域,经验要求,学历要求,领域,性质,规模,职位详情页,公司详情页
收入（日审）会计,坐望文化集团,4-6千,杭州,西湖区,2年,大专,酒店/旅游,民营,150-500人,https://jobs.51job.com/hangzhou-xhq/152322934.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coUTNVNwNlVm9SN1Q_BmA.html
业务跟单,广东博然堂生物科技,4-6千,中山,未知,3-4年,大专,快速消费品(食品、饮料、化妆品),民营,500-1000人,https://jobs.51job.com/zhongshan/152322904.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coB2UGawJhVmFUMg1uBmc.html
安全 管理员,武汉市年华管业,4-6千,武汉,新洲区,1年,大专,建筑/建材/工程,民营,50-150人,https://jobs.51job.com/wuhan-xzq/150652605.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coCG1TP1MyBj1SNlMwVTM.html
急聘电气硬件设计-不出差,无锡先导智能装备,1.5-2.5万·14薪,无锡,未知,3-4年,本科,仪器仪表/工业自动化,已上市,10000人以上,https://jobs.51job.com/wuxi/152322875.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coAGRcPVYzVGwAbVQyVDY.html
水处理工程师,南京水滴智能环保装备研究院,6千-1万,南京,鼓楼区,2年,本科,环保,民营,50-150人,https://jobs.51job.com/nanjing-glq/151038145.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coCWhRM1YxUmpSMVQ2XD4.html
新媒体运营（水晶原创方向）,武汉壬禧文化发展,5-8千,武汉,江岸区,3-4年,大专,批发/零售,民营,少于50人,https://jobs.51job.com/wuhan-jaq/151990871.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coCGZQNgdjAT0Pag1pAmc.html
人事专员,森蓝环保（上海）,6-8千,上海,浦东新区,2年,大专,环保,国企,150-500人,https://jobs.51job.com/shanghai-pdxq/135087840.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coUjZTMwVuDjIAZgZlAGE.html
产品经理(J10170),深圳中科欣扬生物科技,1-2万,广州,白云区,3-4年,本科,制药/生物工程,合资,150-500人,https://jobs.51job.com/guangzhou-byq/151462695.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coVDcGYwRmVmhUOFQ0BWg.html
客服主管,深圳市傲新源科技,6千-1万,深圳,宝安区,3-4年,大专,贸易/进出口,民营,少于50人,https://jobs.51job.com/shenzhen-baq/115130788.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coVjJXOlUzAzoDYwdhBWc.html
驻场研发实验员,南通科顺建筑新材料,6-8千,南通,未知,1年,本科,石油/化工/矿产/地质,已上市,150-500人,https://jobs.51job.com/nantong/152322824.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coBGZSN1Q2UWYHZA1nUDw.html
招投标专员,湖北寰宇天美工程,4-6千,武汉,东西湖区,1年,大专,建筑/建材/工程,民营,50-150人,https://jobs.51job.com/wuhan-dxhq/146923311.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coBGRWNQRvBjtSPgFhVzM.html
人事行政主管,湖北惠隆生态农业,6-7千,武汉,东西湖区,3-4年,本科,农/林/牧/渔,民营,50-150人,https://jobs.51job.com/wuhan-dxhq/127884476.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coBmRTNgdnUWoAZABiBmQ.html
生物质气化炉销售,东莞东燃热能科技,20-40万/年,东莞,望牛墩镇,1年,高中,环保,民营,50-150人,https://jobs.51job.com/dongguan-wndz/151855280.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coUTJcPlcxU2RWOwRlVTc.html
电气设计工程师,南京大齐自动化,1-1.6万,南京,江宁区,3-4年,大专,仪器仪表/工业自动化,民营,少于50人,https://jobs.51job.com/nanjing-jnq/148462198.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coVTYCZVAzVGMHZAFiUDI.html
雷达销售经理,巍泰技术（武汉）,8千-1万,武汉,江夏区,1年,本科,电子技术/半导体/集成电路,民营,少于50人,https://jobs.51job.com/wuhan-jxq/145131438.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coUjMHZlMyVGIDbwNiXTo.html
PLC自动化工程师,上海优控科技,1.3-2.5万,上海,未知,1年,本科,计算机软件,民营,少于50人,https://jobs.51job.com/shanghai/107631068.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coVDMCbwVuBz8EZw1oBWg.html
生物质气化炉销售,东莞东燃热能科技,20-40万/年,东莞,望牛墩镇,1年,高中,环保,民营,50-150人,https://jobs.51job.com/dongguan-wndz/151855277.html?s=sou_sou_soulb&t=0_0&req=89a34d0a04843b6af958295ef06e5e35,https://jobs.51job.com/all/coUTJcPlcxU2RWOwRlVTc.html
